epoch  loss  rmse_e(eV/atom)  rmse_f(eV/A)  rmse_v(eV/atom)  rmse_stress(GPa)  gnorm
244 1.581297e-03 0.008639 0.039756 0.000000 0.0000 0.07
245 1.589659e-03 0.006428 0.039865 0.000000 0.0000 0.08
246 1.568990e-03 0.004154 0.039608 0.000000 0.0000 0.09
247 1.610891e-03 0.005577 0.040132 0.000000 0.0000 0.08
248 1.573766e-03 0.006818 0.039665 0.000000 0.0000 0.09
249 1.581607e-03 0.002401 0.039769 0.000000 0.0000 0.09
250 1.552309e-03 0.006365 0.039394 0.000000 0.0000 0.05
251 1.551024e-03 0.007714 0.039375 0.000000 0.0000 0.07
252 1.582709e-03 0.007718 0.039776 0.000000 0.0000 0.08
253 1.544065e-03 0.004204 0.039292 0.000000 0.0000 0.07
254 1.607421e-03 0.002687 0.040092 0.000000 0.0000 0.10
255 1.661615e-03 0.007494 0.040756 0.000000 0.0000 0.13
256 1.544136e-03 0.005469 0.039292 0.000000 0.0000 0.05
257 1.525700e-03 0.005594 0.039056 0.000000 0.0000 0.04
258 1.540376e-03 0.004517 0.039245 0.000000 0.0000 0.06
259 1.574697e-03 0.007655 0.039675 0.000000 0.0000 0.08
260 1.581745e-03 0.002799 0.039770 0.000000 0.0000 0.10
261 1.737009e-03 0.005382 0.041674 0.000000 0.0000 0.16
262 1.610824e-03 0.005559 0.040131 0.000000 0.0000 0.10
263 1.554095e-03 0.002321 0.039421 0.000000 0.0000 0.07
264 1.535910e-03 0.001546 0.039190 0.000000 0.0000 0.04
265 1.514011e-03 0.003279 0.038909 0.000000 0.0000 0.02
266 1.522176e-03 0.002708 0.039014 0.000000 0.0000 0.04
267 1.527297e-03 0.003483 0.039079 0.000000 0.0000 0.04
268 1.511986e-03 0.001129 0.038884 0.000000 0.0000 0.03
269 1.513335e-03 0.001818 0.038901 0.000000 0.0000 0.02
270 1.514606e-03 0.001643 0.038918 0.000000 0.0000 0.03
271 1.519983e-03 0.003036 0.038986 0.000000 0.0000 0.05
272 1.511979e-03 0.001701 0.038884 0.000000 0.0000 0.03
273 1.509345e-03 0.003074 0.038849 0.000000 0.0000 0.05
274 1.509950e-03 0.002302 0.038857 0.000000 0.0000 0.04
275 1.518508e-03 0.003787 0.038966 0.000000 0.0000 0.07
